enrolled,VerifyPhone,Other,VerifyDateOfBirth,location,is_weekend_enrolleddate,VerifyCountry,Credit,numscreens,BankVerification,idscreen,VerifyMobile,Loan_all,Alerts,age,user
0,1,7,1,0,0,0,0,15,0,1,0,1,0,23,235136
0,1,5,1,1,0,1,0,13,0,0,0,1,0,24,333588
0,0,0,0,0,0,0,0,3,0,0,0,1,0,23,254414
1,1,6,1,1,0,0,3,40,0,0,0,1,0,28,234192
1,1,10,0,0,0,1,2,32,1,1,0,1,0,31,51549
1,1,6,0,0,0,0,2,14,0,1,0,1,0,20,56480
0,0,3,0,0,0,0,0,3,0,0,0,0,0,35,144649
0,1,8,0,0,0,1,2,41,1,0,0,1,0,26,249366
0,1,19,0,1,1,1,0,33,1,0,0,3,0,29,372004
1,1,11,1,1,0,1,0,19,1,0,0,1,0,26,338013
1,0,4,0,0,0,0,0,14,0,1,0,1,0,39,43555
0,1,8,0,0,0,1,2,25,1,0,0,1,0,32,317454
0,1,5,0,0,0,1,0,11,0,1,0,0,0,25,205375
0,0,1,0,0,0,0,1,4,0,0,0,0,1,23,307608
0,0,5,0,0,0,0,0,9,0,0,0,0,0,17,359855
0,1,7,1,1,0,1,0,26,1,1,0,1,0,25,284938
1,0,4,1,1,0,0,0,6,0,0,0,0,0,21,235143
0,1,7,1,1,0,1,0,20,1,0,0,1,0,55,141402
1,1,7,1,1,1,1,0,15,0,0,0,1,0,32,257945
1,0,3,0,0,1,0,0,5,0,1,0,1,0,25,54931
1,0,1,0,0,1,0,0,8,1,1,0,1,0,28,165432
0,1,7,0,1,0,1,3,42,0,0,0,1,0,38,236951
1,1,3,0,1,1,0,2,9,0,1,0,0,0,31,110461
1,1,14,0,0,1,1,3,42,1,1,0,1,0,27,200187
1,0,1,0,0,0,0,0,1,0,0,0,0,0,48,180427
1,1,8,0,0,1,0,2,38,0,1,0,1,0,37,359383
1,1,14,1,1,0,1,0,49,1,0,0,1,0,22,9810
0,0,8,1,1,1,0,2,35,1,1,1,1,0,35,85089
1,0,8,1,0,0,0,2,19,1,0,0,1,0,32,143818
0,0,5,1,1,0,0,0,10,0,1,0,1,0,20,210060
1,1,15,1,1,1,1,2,52,1,0,0,1,0,23,317171
1,1,11,1,1,0,1,4,50,1,1,0,1,0,25,198725
1,1,14,1,1,1,0,1,76,0,1,0,1,0,23,95362
1,1,6,1,1,0,0,4,37,0,0,0,1,0,31,84738
1,1,7,1,1,0,1,0,16,1,0,0,1,0,26,74128
1,1,12,0,1,0,0,1,32,0,1,0,1,0,21,15995
0,0,7,0,1,0,0,4,47,0,0,0,2,1,36,310250
1,1,4,1,1,0,0,4,16,0,0,0,1,0,24,133014
1,1,13,1,1,1,1,4,40,1,1,0,1,0,25,280456
1,1,10,1,1,0,1,2,33,1,0,0,1,0,23,133810
1,1,9,1,1,0,1,3,90,0,0,0,1,0,25,171351
0,0,3,0,0,0,0,1,13,0,1,0,1,0,23,342983
0,0,4,0,1,0,0,4,24,0,0,1,0,0,25,62638
1,1,15,1,1,0,1,2,45,1,1,0,1,0,25,341292
1,1,7,0,0,0,1,0,20,0,1,0,1,0,21,349927
0,1,9,1,1,0,1,1,31,0,0,0,1,0,30,67588
0,0,11,0,1,0,1,0,45,1,1,0,0,0,58,187179
1,1,10,1,1,1,1,2,24,1,1,0,1,0,26,315393
1,0,3,0,1,0,0,1,16,0,0,0,0,0,40,23425
0,1,9,1,1,0,1,1,39,1,0,0,1,0,24,298577
0,0,6,0,0,0,0,0,17,0,1,0,1,0,26,357863
1,1,15,0,1,0,1,0,28,1,1,0,0,0,33,21700
1,0,5,1,1,0,0,4,27,1,1,1,0,0,21,17739
0,1,5,1,1,0,1,0,10,0,0,0,0,0,21,246710
1,1,7,1,1,0,1,0,11,0,0,0,0,0,57,69760
0,1,7,1,1,0,1,0,19,1,0,0,0,0,22,335625
0,0,6,0,0,0,0,1,39,0,0,0,1,1,23,91566
1,1,9,1,1,0,1,1,57,1,0,0,1,0,20,34071
0,0,6,1,1,0,0,4,27,1,1,1,1,0,31,44814
0,0,3,0,0,0,0,0,23,1,0,0,1,0,24,117488
1,0,2,0,0,0,0,0,4,0,1,0,0,0,27,138117
1,1,11,1,1,0,1,0,21,1,0,0,1,0,33,150614
0,1,4,0,0,0,0,3,12,0,1,0,0,0,48,366999
1,1,12,1,1,1,1,2,38,0,1,0,1,0,32,248925
0,0,7,1,1,0,1,0,17,1,0,0,1,0,31,20747
0,0,12,0,1,0,1,0,16,0,0,0,0,0,24,354498
0,0,4,0,0,0,1,0,7,1,0,0,0,0,19,305707
1,1,5,1,1,0,1,1,41,0,0,0,1,0,37,43620
1,1,5,1,1,0,1,0,13,0,0,0,0,0,37,199975
